transaction_id,customer_id,account_number,transaction_type,merchant_id,amount,currency,transaction_timestamp,device_id,location,payment_channel,status
TXN1001,CUST001,ACC12345678,DEBIT,M001,2500,INR,2026-01-01 10:15:00,DEV001,Mumbai,MOBILE,SUCCESS
TXN1002,CUST002,ACC23456789,CREDIT,M002,120000,INR,2026-01-01 11:20:00,DEV002,Delhi,ONLINE,SUCCESS
TXN1003,CUST003,ACC34567890,DEBIT,M003,3500,USD,2026-01-01 13:05:00,DEV003,Bangalore,POS,SUCCESS
TXN1004,CUST004,ACC45678901,DEBIT,M004,-500,INR,2026-01-01 14:00:00,DEV004,Chennai,ATM,SUCCESS
TXN1005,CUST005,,DEBIT,M005,4500,INR,2026-01-01 15:00:00,DEV005,Pune,ONLINE,SUCCESS
TXN1006,CUST006,ACC67890123,DEBIT,M006,7500,ABC,2026-01-01 16:00:00,DEV006,Hyderabad,MOBILE,SUCCESS
TXN1007,CUST007,ACC78901234,DEBIT,M007,5000,INR,INVALID_DATE,DEV007,Kolkata,ATM,SUCCESS
TXN1008,CUST008,ACC89012345,DEBIT,M008,2000,INR,2026-01-01 17:30:00,DEV008,Jaipur,POS,SUCCESS
TXN1008,CUST008,ACC89012345,DEBIT,M008,2000,INR,2026-01-01 17:35:00,DEV008,Jaipur,POS,SUCCESS
TXN1009,CUST009,ACC90123456,DEBIT,M009,3000,INR,2026-01-01 02:10:00,DEV009,Mumbai,MOBILE,SUCCESS
